OBJECTID,GlobalID,Name,Latitude,Longitude,Activity,Description,Website,Notes,Category,County,Record Type,TrailID,Registered,Trail Activity,Format,Grade,Difficulty,Trail Type,Length in Km,Time To Complete,Location Network,DogsAllowedOriginal,Dogs Allowed,Ascent Metres,WalksScheme,ManagementOrganisation,ExternalLinks,NearestTownStart,NearestTownFinish,StartPoint,FinishPoint,WaymarkingDescription,Facilities,GridRefStart,GridRefFinish,MapGuides,OSiMaps,PublicTransport,Comment,DataOwner,sourceglobalid,TrailHeadType,x,y
62918,1ab51a83-e029-41d1-a223-3b9e5e4e75d3,Ballyhoura Way,52.2367,-8.88862,Walking,"In December 1602, in the wake of the defeat of Gaelic forces at the Battle of Kinsale, Donal Cam O Suilleabhain, the chief of the O'Sullivan clan, was isolated and surrounded by his enemies in his territories in West Cork. He resolved to seek asylum with his ally, O'Rourke of Breifne, and so he gathered his entire clan and set out on a forced march through hostile territory in an attempt to reach O'Rourke's lands in what is today County Leitrim, 500 kilometres to the north. A thousand in all set out, and after many skirmishes with enemies and many severe hardships in the winter weather, only fifteen made it to Leitrim. The terrible journey has become one of Ireland's great epics, and the Ballyhoura Way was laid out along part of the route O'Sullivan took with his clan all those years ago, from St John's Bridge to Limerick Junction. The route crosses four upland stretches, one long one over the Ballyhoura Mountains (highest point Seefin, at 510 metres), two short ones over Benyvoughella Hill and Slievereagh, and then a long traverse on the southern flanks of the Slievenamuck ridge, overlooking the beautiful Glen of Aherlow. The aggregate ascent over the route is just over 1700m, and apart from a few short steep sections there are no significant climbs. Along the way walkers might want to linger at the great Norman castle at Liscarroll, in the pretty villages of Kilfinane, Ballyorgan, Ballylanders and Galbally, or the storied town of Tipperary. The terrain consists mainly of tarmac roads, forestry tracks, and open moorland and field paths. Some of the road sections are busy and should be used with care: some of the upland sections can be very wet. There are not many options for overnight accommodation along the route.
Further detailed can be found at Shannon Trails - Ballyhoura Way",https://www.sportireland.ie/outdoors/walking/trails/ballyhoura-way,,leisure & recreation,"Cork, Limerick, Tipperary",Trail,1,Yes,Walking,Linear,Moderate,Moderate,Long Distance Waymarked Way,95,4 days,St John's Bridge Limerick Junction,No,No,1560,Yes,Ballyhoura Heritage & Environment CLG,https://visitballyhoura.com/explore/the-ballyhoura-way,Kanturk 7km,Tipperary 5km,St.Johns Bridge,Limerick Junction,Yellow arrow on black background,"Car parking
At Start - John's Bridge
At End - in station car park at Limerick Junction",R 393 098,R 862 385,Map Guide to the Ballyhoura Way - Ballyhoura Failte,"Discovery Series Sheets 66, 73 and 74* (*start + ca 750m on Sheet 72)","At Start: None though Ballyhoura Country Holidays will collect from Charleville bus or rail and transfer At End: Bus to Limerick, Galway, Waterford Check with Bus Eireann.
Rail Check with Iarnrod Eireann.","46 kms or 51% of this trail follows public roads. While these are mostly quiet local roads there are some busy sections and walkers should always take care when on the road.
As with all waymarked trails, the occassional waymarker can be knocked over or dislodged so always carry a map so that you can confirm that you are following the correct route. You may also come across some sections of soft ground along the Way - so a good pair of waterproof boots is the recommended footware.
***Dogs are allowed but must be kept under effective control***",Sport Ireland,631ce36b-68da-4195-968c-fa2461af8815,Start,-8.88862,52.2367
62919,db2c212f-1737-4390-bd35-c180f6978b65,Ballyhoura Way,52.49782,-8.20321,Walking,"In December 1602, in the wake of the defeat of Gaelic forces at the Battle of Kinsale, Donal Cam O Suilleabhain, the chief of the O'Sullivan clan, was isolated and surrounded by his enemies in his territories in West Cork. He resolved to seek asylum with his ally, O'Rourke of Breifne, and so he gathered his entire clan and set out on a forced march through hostile territory in an attempt to reach O'Rourke's lands in what is today County Leitrim, 500 kilometres to the north. A thousand in all set out, and after many skirmishes with enemies and many severe hardships in the winter weather, only fifteen made it to Leitrim. The terrible journey has become one of Ireland's great epics, and the Ballyhoura Way was laid out along part of the route O'Sullivan took with his clan all those years ago, from St John's Bridge to Limerick Junction. The route crosses four upland stretches, one long one over the Ballyhoura Mountains (highest point Seefin, at 510 metres), two short ones over Benyvoughella Hill and Slievereagh, and then a long traverse on the southern flanks of the Slievenamuck ridge, overlooking the beautiful Glen of Aherlow. The aggregate ascent over the route is just over 1700m, and apart from a few short steep sections there are no significant climbs. Along the way walkers might want to linger at the great Norman castle at Liscarroll, in the pretty villages of Kilfinane, Ballyorgan, Ballylanders and Galbally, or the storied town of Tipperary. The terrain consists mainly of tarmac roads, forestry tracks, and open moorland and field paths. Some of the road sections are busy and should be used with care: some of the upland sections can be very wet. There are not many options for overnight accommodation along the route.
Further detailed can be found at Shannon Trails - Ballyhoura Way",https://www.sportireland.ie/outdoors/walking/trails/ballyhoura-way,,leisure & recreation,"Cork, Limerick, Tipperary",Trail,1,Yes,Walking,Linear,Moderate,Moderate,Long Distance Waymarked Way,95,4 days,St John's Bridge Limerick Junction,No,No,1560,Yes,Ballyhoura Heritage & Environment CLG,https://visitballyhoura.com/explore/the-ballyhoura-way,Kanturk 7km,Tipperary 5km,St.Johns Bridge,Limerick Junction,Yellow arrow on black background,"Car parking
At Start - John's Bridge
At End - in station car park at Limerick Junction",R 393 098,R 862 385,Map Guide to the Ballyhoura Way - Ballyhoura Failte,"Discovery Series Sheets 66, 73 and 74* (*start + ca 750m on Sheet 72)","At Start: None though Ballyhoura Country Holidays will collect from Charleville bus or rail and transfer At End: Bus to Limerick, Galway, Waterford Check with Bus Eireann.
Rail Check with Iarnrod Eireann.","46 kms or 51% of this trail follows public roads. While these are mostly quiet local roads there are some busy sections and walkers should always take care when on the road.
As with all waymarked trails, the occassional waymarker can be knocked over or dislodged so always carry a map so that you can confirm that you are following the correct route. You may also come across some sections of soft ground along the Way - so a good pair of waterproof boots is the recommended footware.
***Dogs are allowed but must be kept under effective control***",Sport Ireland,b6def208-5503-40a3-b092-54b10d185c64,Finish,-8.20321,52.49782
62920,b9b44eed-cb27-47cf-9743-409953759ecf,Barrow Way,53.26985,-6.81597,Walking,"The River Barrow vies with one of its sister rivers, the Suir, as the second longest river in Ireland. It rises in the Slieve Bloom Mountains in the southern midlands, and flows to join its two €˜sisters', the Nore and the Suir, before flowing into the Celtic Sea at Waterford Harbour. The Barrow was made navigable in the eighteenth century by the insertion of short sections of canal along its course, and the 114km long Barrow Way follows surviving towpaths and riverside roads from the canal hamlet of Lowtown in County Kildare to the beautiful monastic site and village of St Mullins in south County Carlow. It is a peaceful route through a quiet sylvan landscape, with the constantly expanding river, growing more majestic every mile, for company. Terrain consists mainly of grassy towpaths, tracks and quiet roads. Overnight accommodation options are good: the route is frequently punctuated with villages and towns, many of which were founded at fording places by the Normans soon after the invasion. Among the interesting places the route passes through and walkers might wish to linger a while are the towns of Rathangan with its great hosting place, and Athy and Carlow. Borris in South County Carlow is a fine place that grew up around Borris House, the homeplace of the McMurrough Kavanagh clan, and Graiguenamanagh, a quaint old monastic town where a book festival is held every year, is Ireland's Hay-on-Wye.",https://www.sportireland.ie/outdoors/walking/trails/barrow-way,,leisure & recreation,"Carlow, Kildare, Laois",Trail,2,Yes,Walking,Linear,Easy,Easy,Long Distance Waymarked Way,120,4 days,Robertstown St Mullins,Under effective control,Yes,,No,Waterways Ireland Barrow,https://hiiker.app/trails/ireland/kildare/barrow-way|Barrow Way link to HIIker website and app - for more information on the route,Robertstown,Graiguenamanagh,Robertstown,St. Mullins,Yellow arrow on black background,"Car parking
At Start - on street in Robertstown.
At End - on riverbank or near Abbey in St Mullins.",N 790 250,S 728 378,Guide to the Barrow Navigation of Ireland - Inland Waterways Association of Ireland. Informarion also available from Waterways Ireland.,"Discovery Series Sheets 49, 55, 61 and 68","At Start: Bus to Robertstown.
Check with Bus Eireann.
At End: None at present.","9 kms or 9% of the Way follows local roads.
***Dogs under effective control allowed, please clean up after your dog***",Sport Ireland,14d4c822-5c53-4f99-b1f2-5254546b9d1f,Start,-6.81597,53.26985
62921,568ce88a-8d72-402c-a67e-03bbf776fc3a,Barrow Way,52.48748,-6.928,Walking,"The River Barrow vies with one of its sister rivers, the Suir, as the second longest river in Ireland. It rises in the Slieve Bloom Mountains in the southern midlands, and flows to join its two €˜sisters', the Nore and the Suir, before flowing into the Celtic Sea at Waterford Harbour. The Barrow was made navigable in the eighteenth century by the insertion of short sections of canal along its course, and the 114km long Barrow Way follows surviving towpaths and riverside roads from the canal hamlet of Lowtown in County Kildare to the beautiful monastic site and village of St Mullins in south County Carlow. It is a peaceful route through a quiet sylvan landscape, with the constantly expanding river, growing more majestic every mile, for company. Terrain consists mainly of grassy towpaths, tracks and quiet roads. Overnight accommodation options are good: the route is frequently punctuated with villages and towns, many of which were founded at fording places by the Normans soon after the invasion. Among the interesting places the route passes through and walkers might wish to linger a while are the towns of Rathangan with its great hosting place, and Athy and Carlow. Borris in South County Carlow is a fine place that grew up around Borris House, the homeplace of the McMurrough Kavanagh clan, and Graiguenamanagh, a quaint old monastic town where a book festival is held every year, is Ireland's Hay-on-Wye.",https://www.sportireland.ie/outdoors/walking/trails/barrow-way,,leisure & recreation,"Carlow, Kildare, Laois",Trail,2,Yes,Walking,Linear,Easy,Easy,Long Distance Waymarked Way,120,4 days,Robertstown St Mullins,Under effective control,Yes,,No,Waterways Ireland Barrow,https://hiiker.app/trails/ireland/kildare/barrow-way|Barrow Way link to HIIker website and app - for more information on the route,Robertstown,Graiguenamanagh,Robertstown,St. Mullins,Yellow arrow on black background,"Car parking
At Start - on street in Robertstown.
At End - on riverbank or near Abbey in St Mullins.",N 790 250,S 728 378,Guide to the Barrow Navigation of Ireland - Inland Waterways Association of Ireland. Informarion also available from Waterways Ireland.,"Discovery Series Sheets 49, 55, 61 and 68","At Start: Bus to Robertstown.
Check with Bus Eireann.
At End: None at present.","9 kms or 9% of the Way follows local roads.
***Dogs under effective control allowed, please clean up after your dog***",Sport Ireland,53fb1ef5-c812-4bfd-82d1-396592aaacd3,Finish,-6.928,52.48748
62922,a036436c-0bb6-4684-aa10-4580c7ec422d,Beara Way,51.74982,-9.55246,Walking,"The Beara Peninsula is a 48km long mountainous finger, shared by counties Kerry and Cork, stretching into the Atlantic Ocean. Quite remote, it has remained perhaps the most unspoilt part of the south west region, and like the peninsulas to the north, is a magical world of mountains and lakes surrounded by a picturesque seacoast. The main industries are farming and fishing, with the latter being based in the port of Castletownbere. The Beara Way was established by a local voluntary group in the early 1990s as a co-operative involving upwards of four hundred landowners to augment the revenues coming from a declining fishing industry through tourism. It is a 206km circular route through magnificently rugged mountain and seacoast scenery which frequently passes by rich evidence of a heavily populated prehistoric past in the form of standing stones and burial monuments. There are also many fine villages, such as Allihies and Eyries, along the route. Terrain consists of mainly quiet tarmac roads, bog roads, cliff and woodland paths and open moorland, some sections of which can be quite rough and remote. The total aggregate ascent is nearly 5300m over the whole route and includes some short but steep climbs. Availability of overnight accommodation is generally good along the route although some of the longer stretches between villages may require careful planning. A loop of the route circumnavigates Bere Island with its great forts, and a spur takes you out (by an exciting trip on Ireland's only cable-car) to sparsely inhabited Dursey Island.",https://www.sportireland.ie/outdoors/walking/trails/beara-way,"Dogs are not permitted

Harvesting on Beara Way
Please note that harvesting works will commence in Knockoura next Monday 25th September.
Harvesting will continue for 3 weeks. Harvesting will affect sections of the Beara Way.
Please adhere to all safety signage and staff instructions during this time. 
https://www.coillte.ie/our-forests/explore/events-and-updates/",leisure & recreation,"Cork, Kerry",Trail,3,Yes,Walking,Loop,Strenuous,Challenging,Long Distance Waymarked Way,265,9 days,Beara Glengarriff,No,No,5245,Yes,Beara Tourism & Development Association,https://bearatourism.com/beara-way|Beara Tourism - more information on the Beara Way &amp; the Beara peninsula ^ https://hiiker.app/trails/ireland/cork/beara-way|HIIker website and app - more information on the Beara Way,Glengarriff,Glengarriff,Glengarriff,Glengarriff,Yellow arrow on black background,"Car parking
At Start/Finish - on street in Glengarriff",V 928 564,V 928 564,The Beara Way - West Cork South Kerry - Beara Tourism & Development,Discovery Series Sheets 84 and 85,"At Start: Express bus service Check with Bus Eireann.
At End: Limited express bus service Check with Bus Eireann.",,Sport Ireland,744a0dad-0b42-4428-a0e7-fc25aaaeabe2,Start,-9.55246,51.74982
62923,de0b8a3d-c14c-4f66-9bfd-7b96dca470aa,Blackwater Way - Avondhu,52.276,-7.99413,Walking,"The Blackwater Way (the combined Duhallow and Avondhu Ways) is a 168 kilometre linear long distance walking route that stretches from the borders of west County Waterford across north County Cork and into the County of Kerry, following the valley of the River Blackwater. It is part of the European E8 route. The Way is a richly varied one in terms of topography and features, and includes contouring sections along mountain flanks with great views, passing by ancient monuments such as standing stones, stone circles and cairns, and more modern monuments such as cillins (infant burial grounds) and holy wells. Along the way the towns of Fermoy and Millstreet and the villages of Kilworth, Ballynamona and Bweeng are encountered. Although the off-road sections are never far from a public road, on higher ground the route frequently passes through quite isolated mountain areas of forestry. Although about 28% of the route is on roads that carry fast traffic, the balance consists mainly of quiet tarmac roads, forestry tracks, bog roads and moorland and field paths. Some sections can be wet and muddy in wet weather. Until the last 15 kilometres during which there is a climb of 560m under Caherbarnagh and the Paps, there are no significant ascents, although over the whole route there is an aggregate ascent of 3,700 metres.",https://www.sportireland.ie/outdoors/walking/trails/blackwater-way-avondhu,,leisure & recreation,"Cork, Tipperary",Trail,4,Yes,Walking,Linear,Moderate,Moderate,Long Distance Waymarked Way,109,6 days,Blackwater Clogheen Bweeng,No,No,3690,No,Avondhu Blackwater Partnership CLG,https://hiiker.app/trails/ireland/tipperary/avondhu-way|Avondhu Way link to HIIker website and app - for more information on the route,Clogheen,Mallow,Clogheen,Bweeng,Yellow arrow on black background,"Car parking
At Start - on street or in car park in Clogheen
At End - on road side in Bweeng",S 004 138,W 500 885,The Blackwater Way Map Guide - EastWest Mapping - Out of Print,"Discovery Series Sheets 74, 80 and 81* (*ca 3.2km through Fermoy)","At Start: Daily express bus and limited local service Check with Bus Eireann.
At End:None",51 kms or 54% of the Way follows local roads.,Sport Ireland,799a6dc3-3104-45dd-b688-efd85429fc1f,Start,-7.99413,52.276
62924,48c538d7-b6c0-43d6-95be-55e5cbfc2abe,Blackwater Way - Avondhu,52.04634,-8.72886,Walking,"The Blackwater Way (the combined Duhallow and Avondhu Ways) is a 168 kilometre linear long distance walking route that stretches from the borders of west County Waterford across north County Cork and into the County of Kerry, following the valley of the River Blackwater. It is part of the European E8 route. The Way is a richly varied one in terms of topography and features, and includes contouring sections along mountain flanks with great views, passing by ancient monuments such as standing stones, stone circles and cairns, and more modern monuments such as cillins (infant burial grounds) and holy wells. Along the way the towns of Fermoy and Millstreet and the villages of Kilworth, Ballynamona and Bweeng are encountered. Although the off-road sections are never far from a public road, on higher ground the route frequently passes through quite isolated mountain areas of forestry. Although about 28% of the route is on roads that carry fast traffic, the balance consists mainly of quiet tarmac roads, forestry tracks, bog roads and moorland and field paths. Some sections can be wet and muddy in wet weather. Until the last 15 kilometres during which there is a climb of 560m under Caherbarnagh and the Paps, there are no significant ascents, although over the whole route there is an aggregate ascent of 3,700 metres.",https://www.sportireland.ie/outdoors/walking/trails/blackwater-way-avondhu,,leisure & recreation,"Cork, Tipperary",Trail,4,Yes,Walking,Linear,Moderate,Moderate,Long Distance Waymarked Way,109,6 days,Blackwater Clogheen Bweeng,No,No,3690,No,Avondhu Blackwater Partnership CLG,https://hiiker.app/trails/ireland/tipperary/avondhu-way|Avondhu Way link to HIIker website and app - for more information on the route,Clogheen,Mallow,Clogheen,Bweeng,Yellow arrow on black background,"Car parking
At Start - on street or in car park in Clogheen
At End - on road side in Bweeng",S 004 138,W 500 885,The Blackwater Way Map Guide - EastWest Mapping - Out of Print,"Discovery Series Sheets 74, 80 and 81* (*ca 3.2km through Fermoy)","At Start: Daily express bus and limited local service Check with Bus Eireann.
At End:None",51 kms or 54% of the Way follows local roads.,Sport Ireland,d36ac17c-bf26-4d1b-94c0-8ebba336bc8f,Finish,-8.72886,52.04634
62925,09c3119d-95d9-4572-aefb-85a024fe360d,Duhallow Way,51.98871,-9.29579,Walking,"The Duhallow Way, makes up the first part of the Blackwater Way – a 168 km linear long distance walking route that stretches from the boarders of Country Kerry, across North Cork and into County Waterford, starting in Clydagh and crossing the Derrynasaggart mountain range and following parallel to the River Blackwater. The Duhallow Way is richly varied in terms of topography and includes contouring sections along mountain flanks with great views, contrasting with views of wild bog, forest roadways, glens, lakes, rivers and stretches of beautiful isolation. The unspoilt landscapes are abounding in plant and animal life, displaying all nature’s colours – emerald green, golden yellow, purple and brown. The Way is an area of rugged beauty, a place which one could explore for days on end, features along the way include passing by ancient monuments such as standing stones, stone circles and cairns, and more modern monuments such as cillins (infant burial grounds) and holy wells. There are no significant ascents apart from the climb of 560m meters under Caherbarnagh and the Paps.",https://www.sportireland.ie/outdoors/walking/trails/duhallow-way,"Please note: This trail is currently being upgraded at the Mushera section of the trail ( 52.011803, -8.993739, grid ref: W319 851) and the Paps section of the trail at the Clonkeen side (52.012440, -9.248627, grid ref: W144 853) , walkers can still pass through both sections but please take care. If you require any further information, please contact the Rural Recreation Officer in IRD on 029-60633
IT IS VITALLY IMPORTANT THAT DOGS MUST NOT BE BROUGHT ON THE SHRONE/THE PAPS, MUSHERA AND THE MOUNT LEADER FIELDS (from 52.05075, -9.06831 to 52.04670, -9.06163) AREAS OF THIS TRAIL. BRINGING DOGS TO THESE AREAS IS PUTTING THE TRAIL AS RISK OF CLOSURE AS LANDOWNERS ARE CONCERNED ABOUT THE IMPACT ON THIER LIVESTOCK.
THE ONGOING PRESENCE OF DOGS WILL LEAD TO THE CLOSURE OF THE TRAIL
TO KEEP THE HILLS OPEN TO WALKERS IT IS IMPERATIVE THAT LANDOWNERS AND THEIR STOCK ARE RESPECTED.",leisure & recreation,"Cork, Kerry",Trail,5,Yes,Walking,Linear,Strenuous,Challenging,Long Distance Waymarked Way,67,2 to 3 days,Blackwater Bweeng Shrone,No,No,560,Yes,IRD Duhallow,,Rathmore,Mallow,Clonkeen,Bweeng,Yellow arrow on black background,"If you are planning on doing the Duhallow Way from start to finish logistically the easiest option is to get dropped at one end and collected at the other. However, there are various points along the way where one can park and walk a short distance to join the Duhallow Way. In each of these locations please leave enough space for a tractor to pass and ensure that you do not block the road or any gates/entrances. Parking
Clonkeen: Parking at Church Duhallow Way starts: W11048 82616
Croohig’s Crossroads: W 22732 89579
Millstreet: Car park W 26901 90276 or Claragh Road: W 26773 89854 Mushera: St. John’s Well W 32140 85719 or End of Mushera/ bottom of Seefin W 34975 86168
Boggeragh: At forestry entrance W 42432 87059
Mossy bed: W 45236 87346
Glenaknockane: W 44162 88482
French’s Road: W 47003 88791 and W 46463 88761
Bweeng: W 49960 88589
Starting at Clonkeen the nearest services are available in Ballyvourney. Starting at Bweeng, the nearest services are available in Mallow. Millstreet is halfway point of the trail, services and accommodation available in Millstreet.",W 11048 82616,W 49949 88556,The Blackwater Way Map Guide - EastWest Mapping - Out of Print,Discovery Series Sheets 79 and 80,"Millstreet: Bus Eireann: 257 Killarney, Co. Kerry to Macroom, Co. Cork (weekdays only)
Irish Rail: Killarney to Millstreet (daily),
Cork Kent to Millstreet (daily – depending on time may have to get connection in Mallow)
Rathmore: Irish Rail: Cork Kent to Rathmore (daily – transfer at Mallow),
Killarney to Rathmore (daily)
Bus Eireann: 257 Killarney, Co. Kerry to Macroom, Co. cork (weekdays only)","IT IS VITALLY IMPORTANT THAT DOGS MUST NOT BE BROUGHT ON THE SHRONE / THE PAPS AND MUSHERA AREAS OF THIS TRAIL AT ANY TIME, NOT EVEN ON A LEAD. BRINGING DOGS IS PUTTING THE TRAIL AT RISK OF CLOSURE. LANDOWNERS ARE VERY CONCERNED ABOUT THE IMPACT ON THEIR LIVESTOCK AND THE ONGOING PRESENCE OF DOGS WILL LEAD TO THE CLOSURE OF THE TRAIL.
DOGS ARE NOT PERMITTED ON MUSHERA, ALSO DUE TO SHEEP WORRYING. TO KEEP THE HILLS OPEN TO WALKERS IT IS IMPERATIVE TO RESPECT LANDOWNERS AND STOCK.
21 kms or 31% of the Way follows local roads.
There may be some wet areas underfoot so it is advisable to wear the appropriate footwear.",Sport Ireland,f764fc86-08d8-4656-8217-79ea7b790fe6,Start,-9.29579,51.98871
62926,7049a8ed-04fe-431d-9807-b46ecd2dcffb,Duhallow Way,52.04705,-8.7303,Walking,"The Duhallow Way, makes up the first part of the Blackwater Way – a 168 km linear long distance walking route that stretches from the boarders of Country Kerry, across North Cork and into County Waterford, starting in Clydagh and crossing the Derrynasaggart mountain range and following parallel to the River Blackwater. The Duhallow Way is richly varied in terms of topography and includes contouring sections along mountain flanks with great views, contrasting with views of wild bog, forest roadways, glens, lakes, rivers and stretches of beautiful isolation. The unspoilt landscapes are abounding in plant and animal life, displaying all nature’s colours – emerald green, golden yellow, purple and brown. The Way is an area of rugged beauty, a place which one could explore for days on end, features along the way include passing by ancient monuments such as standing stones, stone circles and cairns, and more modern monuments such as cillins (infant burial grounds) and holy wells. There are no significant ascents apart from the climb of 560m meters under Caherbarnagh and the Paps.",https://www.sportireland.ie/outdoors/walking/trails/duhallow-way,"Please note: This trail is currently being upgraded at the Mushera section of the trail ( 52.011803, -8.993739, grid ref: W319 851) and the Paps section of the trail at the Clonkeen side (52.012440, -9.248627, grid ref: W144 853) , walkers can still pass through both sections but please take care. If you require any further information, please contact the Rural Recreation Officer in IRD on 029-60633
IT IS VITALLY IMPORTANT THAT DOGS MUST NOT BE BROUGHT ON THE SHRONE/THE PAPS, MUSHERA AND THE MOUNT LEADER FIELDS (from 52.05075, -9.06831 to 52.04670, -9.06163) AREAS OF THIS TRAIL. BRINGING DOGS TO THESE AREAS IS PUTTING THE TRAIL AS RISK OF CLOSURE AS LANDOWNERS ARE CONCERNED ABOUT THE IMPACT ON THIER LIVESTOCK.
THE ONGOING PRESENCE OF DOGS WILL LEAD TO THE CLOSURE OF THE TRAIL
TO KEEP THE HILLS OPEN TO WALKERS IT IS IMPERATIVE THAT LANDOWNERS AND THEIR STOCK ARE RESPECTED.",leisure & recreation,"Cork, Kerry",Trail,5,Yes,Walking,Linear,Strenuous,Challenging,Long Distance Waymarked Way,67,2 to 3 days,Blackwater Bweeng Shrone,No,No,560,Yes,IRD Duhallow,,Rathmore,Mallow,Clonkeen,Bweeng,Yellow arrow on black background,"If you are planning on doing the Duhallow Way from start to finish logistically the easiest option is to get dropped at one end and collected at the other. However, there are various points along the way where one can park and walk a short distance to join the Duhallow Way. In each of these locations please leave enough space for a tractor to pass and ensure that you do not block the road or any gates/entrances. Parking
Clonkeen: Parking at Church Duhallow Way starts: W11048 82616
Croohig’s Crossroads: W 22732 89579
Millstreet: Car park W 26901 90276 or Claragh Road: W 26773 89854 Mushera: St. John’s Well W 32140 85719 or End of Mushera/ bottom of Seefin W 34975 86168
Boggeragh: At forestry entrance W 42432 87059
Mossy bed: W 45236 87346
Glenaknockane: W 44162 88482
French’s Road: W 47003 88791 and W 46463 88761
Bweeng: W 49960 88589
Starting at Clonkeen the nearest services are available in Ballyvourney. Starting at Bweeng, the nearest services are available in Mallow. Millstreet is halfway point of the trail, services and accommodation available in Millstreet.",W 11048 82616,W 49949 88556,The Blackwater Way Map Guide - EastWest Mapping - Out of Print,Discovery Series Sheets 79 and 80,"Millstreet: Bus Eireann: 257 Killarney, Co. Kerry to Macroom, Co. Cork (weekdays only)
Irish Rail: Killarney to Millstreet (daily),
Cork Kent to Millstreet (daily – depending on time may have to get connection in Mallow)
Rathmore: Irish Rail: Cork Kent to Rathmore (daily – transfer at Mallow),
Killarney to Rathmore (daily)
Bus Eireann: 257 Killarney, Co. Kerry to Macroom, Co. cork (weekdays only)","IT IS VITALLY IMPORTANT THAT DOGS MUST NOT BE BROUGHT ON THE SHRONE / THE PAPS AND MUSHERA AREAS OF THIS TRAIL AT ANY TIME, NOT EVEN ON A LEAD. BRINGING DOGS IS PUTTING THE TRAIL AT RISK OF CLOSURE. LANDOWNERS ARE VERY CONCERNED ABOUT THE IMPACT ON THEIR LIVESTOCK AND THE ONGOING PRESENCE OF DOGS WILL LEAD TO THE CLOSURE OF THE TRAIL.
DOGS ARE NOT PERMITTED ON MUSHERA, ALSO DUE TO SHEEP WORRYING. TO KEEP THE HILLS OPEN TO WALKERS IT IS IMPERATIVE TO RESPECT LANDOWNERS AND STOCK.
21 kms or 31% of the Way follows local roads.
There may be some wet areas underfoot so it is advisable to wear the appropriate footwear.",Sport Ireland,51a9d50a-ac81-4047-8312-05eb65e5171d,Finish,-8.7303,52.04705
62927,0f2d227a-7f07-4aaa-a49f-dbd119e2a2f0,Bluestack Way,54.65362,-8.11001,Walking,"The Bluestack Way is a 65km route through a true wilderness area of County Donegal in the north west of Ireland with great views as it traverses the Bluestack Mountains, a range of low rounded hills. It connects Donegal town with the town of Ardara on the west coast. Along the way the route passes by scenic Lough Eske, and then wends its way across the foothills of the Bluestacks to reach an area called Disert, where there is an ancient mountain graveyard. West of Disert the route goes over rough and remote high moorland terrain between Binbane and Cloghmeen Hill before descending along the Owenroe river to reach a bog road. This is followed across isolated bogland at Meenawannia to reach Glenties. From Glenties an enjoyable stretch which includes a very pleasant riverside walk along the Owenea river takes the route to the town of Ardara. Overnight accommodation options in the populated areas are very good. The terrain of the route consists generally of bog roads, open and often wet moorland, and mainly quiet tarmac public roads. In wet or otherwise unsuitable weather it is possible to avoid the open moorland stretch west of Disert by taking an alternative route to Glenties. The aggregate ascent over the route is 1430m, but other than the stretch up onto the pass between Binbane and Cloghmeen Hill, there are no significant climbs.",https://www.sportireland.ie/outdoors/walking/trails/bluestack-way,Please do not bring dogs on any section of the Way which crosses private land. If walking from Donegal Town the first section of private farmland is at Owenboy.,leisure & recreation,Donegal,Trail,6,Yes,Walking,Linear,Moderate,Moderate,Long Distance Waymarked Way,65,3 days,Donegal Town Ardragh,No,No,1230,Yes,Bluestack Way Committee,https://hiiker.app/trails/ireland/donegal/bluestack-way|Bluestack Way link to HIIker website and app - for more information on the route,Donegal Town,Ardara,Donegal Town at The Diamond,Ardara at The Diamond,Yellow arrow on black background,"Parking
In Donegal Town - paid parking in most of the town centre car parks as well as for on street parking (50 cent per hour on street and 30 cent per hour in car parks in September 2022)
In Glenties - free street parking and the car park at the chapel is also free
In Ardara - free street parking and also free parking in the town's public car park (behind the main street about half way down the hill)

Services
In Donegal Town - All services
On the route at Lough Eske - two 4 star hotels serve food and drink
In Glenties - All services
In Ardara - All services",G 929 784,G 736 908,"The Bluestack Way - Bluestack Environmental Group - available from The Four Masters Bookshop, Donegal Town",Discovery Series Sheets 10 and 11,"In Donegal Town: Extensive bus services - Check with Bus Eireann.
In Ardara: Limited bus service Check with Bus Eireann.",21 kms or 31% of the Way follows local roads.,Sport Ireland,1d4221d2-eeb7-4e82-9d16-ff6b1874178c,Start,-8.11001,54.65362
