feature_index,TrailID
5,10
10,107
11,107
14,1144
15,1144
18,114
19,1683
41,918
47,1179
50,119
60,119
67,1198
68,1203
70,119
71,124
72,124
73,127
79,128
82,476
89,6
94,6
102,133
103,169
106,1331
107,1332
113,990
114,990
115,990
116,1344
119,1741
121,1344
123,1344
134,1362
135,1362
136,1362
138,1356
139,1356
140,1362
146,1370
151,1377
152,1377
154,612
155,685
158,1377
159,1377
166,1392
169,866
176,1538
180,1407
181,1407
182,1412
184,1414
192,1414
193,1414
194,1419
195,1419
200,625
201,146
203,150
212,1515
213,1516
214,1527
215,951
217,600
221,1524
222,1526
229,1534
231,1538
234,1538
235,1538
236,1538
237,1538
238,693
239,1537
240,279
244,1538
245,1538
246,1538
249,1552
254,266
255,1561
270,1578
277,1585
278,1585
289,1741
291,1600
296,1599
312,1627
316,1623
317,1624
322,1633
323,1634
325,1636
327,1640
328,1640
333,1643
341,1655
342,1656
343,286
344,1666
345,1669
347,1664
348,1664
350,169
355,490
358,1683
362,169
365,1538
367,1701
373,1732
377,1741
378,24
379,24
380,18
391,189
392,184
394,189
395,188
397,189
404,194
405,194
406,200
407,194
411,204
421,217
422,212
423,223
427,214
429,22
430,229
434,2311
436,229
438,2311
439,655
440,236
442,235
444,235
445,2311
448,2311
451,254
454,244
464,412
465,412
466,412
467,412
468,412
469,11
471,272
473,271
479,266
482,282
483,282
484,284
485,279
486,285
489,286
492,293
495,293
498,289
502,308
503,305
509,585
516,312
524,329
525,329
526,337
530,36
532,356
533,356
534,356
535,356
536,356
537,356
542,356
543,356
546,210
548,376
550,383
552,392
553,849
556,388
557,389
558,452
567,40
568,439
571,4003
572,4003
574,289
577,289
583,421
584,260
585,417
586,416
588,416
597,427
598,427
599,427
602,260
606,439
612,452
620,460
621,460
624,464
627,465
628,465
630,465
632,476
647,483
648,490
649,482
655,549
659,114
660,549
661,549
665,555
666,555
667,555
671,566
672,566
673,569
676,562
677,564
678,562
679,114
681,571
682,575
688,571
701,596
710,61
711,73
712,612
714,615
717,614
720,616
721,616
722,616
723,616
726,624
732,584
733,631
735,635
737,632
740,64
749,635
750,654
761,666
762,667
763,667
764,667
766,664
767,664
770,68
771,672
772,611
773,75
775,680
776,680
784,690
785,690
786,693
787,282
789,140
790,73
804,714
807,714
808,714
809,224
810,73
811,611
816,748
828,305
829,77
830,77
832,802
833,802
836,806
841,383
843,81
844,383
847,806
848,810
850,383
854,824
860,824
861,829
862,829
863,831
864,831
866,834
869,549
870,549
871,834
876,844
878,847
879,847
880,845
881,849
885,146
892,866
893,868
894,865
895,865
902,337
904,875
905,873
908,873
919,35
920,35
922,886
923,886
927,28
928,28
938,905
939,90
950,91
951,91
952,91
954,920
955,920
957,925
958,925
960,925
961,932
963,631
964,936
966,936
968,938
970,930
972,949
974,393
993,454
999,329
1006,979
1008,979
1010,975
1011,98
1012,979
1018,990
1019,163
1020,979
